mean_flex1x,mean_flex1y,mean_pof1,mean_flex2x,mean_flex2y,mean_pof2,activity
0.961909455748785,0.809176788124157,0.633246777624828,0.923517897091722,0.620844286376991,0.724096028452875,0
0.95934661691192,0.809176788124157,0.630709548241772,0.923517897091722,0.619267048090305,0.725652045050385,0
0.95831866507076,0.809176788124157,0.632962082342636,0.87008529082774,0.59359053657028,0.75514226437463,0
0.962050271069492,0.809176788124157,0.631898385683895,0.806424776286353,0.569893304468841,0.826229994072318,0
0.963951277899035,0.820310391363023,0.631898385683895,0.818302572706935,0.570295345600742,0.808328393598103,0
0.966274730690699,0.824021592442645,0.633274934301089,0.831788310961969,0.57739291789083,0.802637818612923,0
0.966274730690699,0.803684210526316,0.633931923413841,0.773769574944072,0.5558682542137,0.799510966212211,0
0.900689995071464,0.749595141700405,0.611656863971969,0.909822427293065,0.610646358435132,0.730483106105513,0
0.718566500035204,0.575883940620783,0.450256538605932,0.906578579418344,0.599737126952219,0.818079430942502,0
0.876075477011899,0.71306342780027,0.573614065824052,0.934368008948545,0.627640327818154,0.846443390634262,0
0.916496514820813,0.809473684210526,0.615911650606933,0.804271532438479,0.595654863151384,0.785210432720806,0
0.959093149334648,0.799622132253711,0.635871605556251,0.782046979865772,0.565911550950982,0.790426793123889,0
0.95393226783074,0.802914979757085,0.643254911775748,0.898545861297539,0.612115354878615,0.757705986959099,0
0.761374357530099,0.65523616734143,0.503472656738831,0.925153803131991,0.619491263336941,0.840693538826319,0
0.817545588960079,0.648731443994602,0.571142535352271,0.952411912751678,0.612540590691201,0.875903971547125,0
0.913757656833064,0.760971659919028,0.61031160055062,0.906312919463087,0.642469460337096,0.916686425607588,0
0.958762233330986,0.79808367071525,0.634401201351521,0.69435822147651,0.534730168548013,0.696250740960284,0
0.975836090966697,0.795411605937922,0.642410211487924,0.843945749440716,0.585163135920829,0.776467101363367,0
0.909167077378019,0.803400809716599,0.626298335627581,0.910703299776286,0.614689964434823,0.818109069353883,0
0.732105893121172,0.594278002699056,0.470904767863847,0.930194351230425,0.617906293490026,0.887225844694725,0
0.844384989086813,0.67970310391363,0.593292454010762,0.955082494407159,0.62961960723674,0.886929460580913,0
0.928585510103499,0.783279352226721,0.623138530847203,0.875461409395973,0.642260708210917,0.876659751037345,0
0.970076744349785,0.794116059379217,0.641721937179327,0.716687639821029,0.543227153239524,0.752845287492591,0
0.971076533126804,0.808556005398111,0.649324239769741,0.874706375838926,0.595964125560538,0.806135151155898,0
0.880497078082096,0.79970310391363,0.614284820422976,0.911835850111857,0.617349621153549,0.872139893301719,0
0.720333732310075,0.601417004048583,0.484826680015017,0.930998322147651,0.626302767898562,0.901852400711322,0
0.84668731958037,0.688758434547908,0.588975096984107,0.944819630872483,0.642662749342817,0.886692353289864,0
0.901485601633458,0.788852901484481,0.619728444500063,0.890079697986577,0.66180609246946,0.906846473029046,0
0.959079067802577,0.830971659919028,0.63862470279064,0.716498881431767,0.556927477965053,0.759454653230587,0
0.971076533126804,0.826923076923077,0.645538731072456,0.829145693512304,0.584784289469615,0.836262596324837,0
0.911729916214884,0.826234817813765,0.631835815292204,0.903691275167785,0.61781351476728,0.848088322465916,0
0.736485249595156,0.613535762483131,0.473595294706545,0.930683724832215,0.62672027215092,0.890471250740961,0
